Date,BTC-USD,ETH-USD,SPY
2023-02-08,22939.3984375,1650.716796875,395.9100036621094
2023-02-09,21819.0390625,1546.438232421875,392.4778137207031
2023-02-10,21651.18359375,1514.869140625,393.3937072753906
2023-02-11,21870.875,1539.9267578125,
2023-02-12,21788.203125,1515.03369140625,
2023-02-13,21808.1015625,1507.1658935546875,398.01177978515625
2023-02-14,22220.8046875,1556.8751220703125,397.8285827636719
2023-02-15,24307.841796875,1673.7459716796875,399.12060546875
2023-02-16,23623.474609375,1640.067626953125,393.6251525878906
2023-02-17,24565.6015625,1694.7833251953125,392.6417541503906
2023-02-18,24641.27734375,1691.8194580078125,
2023-02-19,24327.642578125,1681.4361572265625,
2023-02-20,24829.1484375,1702.6751708984375,
2023-02-21,24436.353515625,1658.036376953125,384.7649841308594
2023-02-22,24188.84375,1643.231689453125,384.2347106933594
2023-02-23,23947.4921875,1651.0738525390625,386.2786865234375
2023-02-24,23198.126953125,1608.3731689453125,382.1523132324219
2023-02-25,23175.375,1594.9149169921875,
2023-02-26,23561.212890625,1640.817138671875,
2023-02-27,23522.87109375,1634.326416015625,383.45379638671875
2023-02-28,23147.353515625,1605.8951416015625,382.03656005859375
2023-03-01,23646.55078125,1663.4337158203125,380.5710754394531
2023-03-02,23475.466796875,1647.3193359375,383.5309143066406
2023-03-03,22362.6796875,1569.1676025390625,389.681884765625
2023-03-04,22353.349609375,1566.9239501953125,
2023-03-05,22435.513671875,1564.46875,
2023-03-06,22429.7578125,1567.398681640625,389.951904296875
2023-03-07,22219.76953125,1561.93310546875,383.97442626953125
2023-03-08,21718.080078125,1534.0882568359375,384.60107421875
2023-03-09,20363.021484375,1438.6607666015625,377.5052490234375
2023-03-10,20187.244140625,1429.1580810546875,372.05804443359375
2023-03-11,20632.41015625,1482.61669921875,
2023-03-12,22163.94921875,1590.29296875,
2023-03-13,24197.533203125,1680.3089599609375,371.52777099609375
2023-03-14,24746.07421875,1703.507080078125,377.6691589355469
2023-03-15,24375.9609375,1656.1805419921875,375.30712890625
2023-03-16,25052.7890625,1677.2154541015625,381.89190673828125
2023-03-17,27423.9296875,1792.485107421875,377.42657470703125
2023-03-18,26965.87890625,1761.65966796875,
2023-03-19,28038.67578125,1785.5765380859375,
2023-03-20,27767.236328125,1735.3212890625,381.0557556152344
2023-03-21,28175.81640625,1806.7607421875,386.0592346191406
2023-03-22,27307.4375,1737.717041015625,379.478271484375
2023-03-23,28333.97265625,1816.4051513671875,380.50421142578125
2023-03-24,27493.28515625,1752.0447998046875,383.00103759765625
2023-03-25,27494.70703125,1743.7647705078125,
2023-03-26,27994.330078125,1775.6767578125,
2023-03-27,27139.888671875,1715.4608154296875,383.7171936035156
2023-03-28,27268.130859375,1772.78564453125,382.8558654785156
2023-03-29,28348.44140625,1793.0018310546875,388.420654296875
2023-03-30,28033.5625,1792.7371826171875,390.6949157714844
2023-03-31,28478.484375,1822.0220947265625,396.20166015625
2023-04-01,28411.03515625,1813.860595703125,
2023-04-02,28199.30859375,1795.7081298828125,
2023-04-03,27790.220703125,1810.297119140625,397.71142578125
2023-04-04,28168.08984375,1871.005126953125,395.5048828125
2023-04-05,28177.984375,1909.114013671875,394.46929931640625
2023-04-06,28044.140625,1872.922607421875,396.008056640625
2023-04-07,27925.859375,1865.6361083984375,
2023-04-08,27947.794921875,1849.4981689453125,
2023-04-09,28333.05078125,1859.3878173828125,
2023-04-10,29652.98046875,1911.20751953125,396.4145202636719
2023-04-11,30235.05859375,1892.189697265625,396.5210266113281
2023-04-12,30139.052734375,1920.68212890625,394.9047546386719
2023-04-13,30399.06640625,2012.6346435546875,400.15020751953125
2023-04-14,30485.69921875,2101.635498046875,399.1726989746094
2023-04-15,30318.49609375,2092.466796875,
2023-04-16,30315.35546875,2120.005859375,
2023-04-17,29445.044921875,2076.242919921875,400.60504150390625
2023-04-18,30397.552734375,2104.537353515625,400.8663330078125
2023-04-19,28822.6796875,1936.4034423828125,400.798583984375
2023-04-20,28245.98828125,1943.09765625,398.6114807128906
